raw_material_id,raw_material_sku,suppliers
242,RM-C9-sucralose-0d0ed3f1,"Prinova USA,Univar Solutions"
243,RM-C9-sunflower-lecithin-db6877ff,"ADM,Cargill"
244,RM-C9-vitamin-c-46b8181f,"Prinova USA,PureBulk"
245,RM-C9-vitamin-d-f836407b,"Prinova USA,PureBulk"
246,RM-C9-vitamin-d3-1ac68852,"Prinova USA,PureBulk"
247,RM-C9-whey-protein-concentrate-410208b7,"Actus Nutrition,Prinova USA"
248,RM-C9-whey-protein-isolate-2d082fc2,"Actus Nutrition,Prinova USA"
249,RM-C9-zinc-eab3b1ef,"Jost Chemical,Prinova USA"
250,RM-C9-zinc-oxide-d758de8e,"Jost Chemical,PureBulk"
251,RM-C10-chloride-b98a465b,"Jost Chemical,Prinova USA"
252,RM-C10-citric-acid-8159ad4e,"Prinova USA,Univar Solutions"
253,RM-C10-concentrace-trace-minerals-4f4f68d2,"Trace Minerals"
254,RM-C10-effervescent-base-ddcd1d62,"Prinova USA,Vitaquest"
255,RM-C10-natural-lemon-lime-flavor-2351fcc6,"Gold Coast Ingredients"
256,RM-C10-potassium-4334e301,"Jost Chemical,Prinova USA"
257,RM-C10-vitamin-c-a3c07522,"Prinova USA,PureBulk"
259,RM-C11-gelatin-capsule-bovine-42ef5483,"Capsuline,Darling Ingredients / Rousselot"
260,RM-C11-magnesium-glycinate-309625e9,"Balchem,PureBulk"
261,RM-C11-rice-powder-3d1b7e08,Ingredion
262,RM-C11-silica-1de71d67,"Ashland,Colorcon"
263,RM-C11-vegetable-magnesium-stearate-a91ab707,"Ashland,Colorcon"
264,RM-C12-blue-2-lake-b1728ef8,"Gold Coast Ingredients,Sensient"
265,RM-C12-calcium-carbonate-7423a5f4,"Jost Chemical,PureBulk"
266,RM-C12-cholecalciferol-vitamin-d3-d24cbd0c,"Prinova USA,PureBulk"
267,RM-C12-copper-sulfate-18cbcb56,"Jost Chemical,PureBulk"
268,RM-C12-croscarmellose-sodium-6986ada1,"Ashland,Colorcon"
269,RM-C12-magnesium-oxide-80939af8,"Jost Chemical,Prinova USA"
270,RM-C12-magnesium-stearate-1cf9b021,"Ashland,Colorcon"
271,RM-C12-maltodextrin-2c5ab478,Ingredion
272,RM-C12-manganese-sulfate-a7c552be,"Jost Chemical,PureBulk"
273,RM-C12-polyethylene-glycol-8a996dc9,"Spectrum Chemical,Univar Solutions"
274,RM-C12-polyvinyl-alcohol-bef41d00,"Ashland,Colorcon"
275,RM-C12-red-40-lake-8f2e0c08,"Gold Coast Ingredients,Sensient"
276,RM-C12-talc-4e027cb7,"Ashland,Colorcon"
277,RM-C12-titanium-dioxide-6699b33e,"Ashland,Colorcon"
278,RM-C12-tocopherols-98f93e88,"Prinova USA,PureBulk"
279,RM-C12-yellow-6-lake-d8d481af,"Gold Coast Ingredients,Sensient"
280,RM-C12-zinc-oxide-81626087,"Jost Chemical,PureBulk"
281,RM-C13-b-vitamins-00134c85,"Prinova USA,PureBulk"
282,RM-C13-energy-support-botanicals-nutrients-4823efcb,"Nutra Blend,Prinova USA"
283,RM-C13-probiotic-cultures-4fa0be80,"Custom Probiotics,Specialty Enzymes & Probiotics"
284,RM-C13-vitamin-d-b89cc23f,"Prinova USA,PureBulk"
285,RM-C14-b-vitamins-6b1105ff,"Prinova USA,PureBulk"
286,RM-C14-biotin-b128e9e7,"Prinova USA,PureBulk"
287,RM-C14-calcium-1b8fb86e,"Jost Chemical,Prinova USA"
